,Acquisition cost,Acquisition cost,Acquisition cost,Computers available,Computers available,Computers available,Departed wait queue,Departed wait queue,Departed wait queue,Patrons today,Patrons today,Patrons today,Repair cost,Repair cost,Repair cost,Total cost,Total cost,Total cost,max wait duration,max wait duration,max wait duration,median wait duration,median wait duration,median wait duration,min wait duration,min wait duration,min wait duration,num_waiting 1,num_waiting 1,num_waiting 1,num_waiting 10,num_waiting 10,num_waiting 10,num_waiting 2,num_waiting 2,num_waiting 2,num_waiting 3,num_waiting 3,num_waiting 3,num_waiting 4,num_waiting 4,num_waiting 4,num_waiting 5,num_waiting 5,num_waiting 5,num_waiting 6,num_waiting 6,num_waiting 6,num_waiting 7,num_waiting 7,num_waiting 7,num_waiting 8,num_waiting 8,num_waiting 8,num_waiting 9,num_waiting 9,num_waiting 9,utilization 1,utilization 1,utilization 1,utilization 10,utilization 10,utilization 10,utilization 2,utilization 2,utilization 2,utilization 3,utilization 3,utilization 3,utilization 4,utilization 4,utilization 4,utilization 5,utilization 5,utilization 5,utilization 6,utilization 6,utilization 6,utilization 7,utilization 7,utilization 7,utilization 8,utilization 8,utilization 8,utilization 9,utilization 9,utilization 9
,amax,amin,median,amax,amin,median,amax,amin,median,amax,amin,median,amax,amin,median,amax,amin,median,amax,amin,median,amax,amin,median,amax,amin,median,amax,amin,median,amax,amin,median,amax,amin,median,amax,amin,median,amax,amin,median,amax,amin,median,amax,amin,median,amax,amin,median,amax,amin,median,amax,amin,median,amax,amin,median,amax,amin,median,amax,amin,median,amax,amin,median,amax,amin,median,amax,amin,median,amax,amin,median,amax,amin,median,amax,amin,median,amax,amin,median
Inventory qty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,28125.0,,,70.0,,,75.0,,,577.0,,,380.0,,,28505.0,,,85.0,,,17.0,,,-38.0,,,0.0,,,-41.0,,,0.0,,,0.0,,,0.0,,,46.0,,,89.0,,,71.0,,,12.0,,,-29.0,,,0.07042253521126761,,,0.7605633802816901,,,0.22857142857142856,,,0.37142857142857144,,,0.9014084507042254,,,0.9857142857142858,,,0.9857142857142858,,,0.9857142857142858,,,0.9857142857142858,,,0.9714285714285714,
150,,56250.0,,,139.0,,,28.0,,,578.0,,,760.0,,,57010.0,,,79.0,,,3.0,,,-51.0,,,0.0,,,-6.0,,,0.0,,,0.0,,,0.0,,,0.0,,,72.0,,,111.0,,,48.0,,,19.0,,,0.05,,,0.9357142857142857,,,0.09285714285714286,,,0.16312056737588654,,,0.48201438848920863,,,0.8794326241134752,,,0.9928057553956835,,,0.9928057553956835,,,0.9928057553956835,,,0.9928057553956835,
225,,84375.0,,,208.0,,,0.0,,,577.0,,,1235.0,,,85610.0,,,8.0,,,0.0,,,-70.0,,,0.0,,,-1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,6.0,,,86.0,,,57.0,,,12.0,,,0.02403846153846154,,,0.9528301886792453,,,0.07075471698113207,,,0.10849056603773585,,,0.2938388625592417,,,0.6142857142857143,,,0.9951923076923077,,,0.9951923076923077,,,0.9951923076923077,,,0.9951923076923077,
300,,112500.0,,,277.0,,,0.0,,,580.0,,,1615.0,,,114115.0,,,3.0,,,0.0,,,-93.0,,,0.0,,,8.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,14.0,,,30.0,,,30.0,,,0.02527075812274368,,,0.9964028776978417,,,0.04659498207885305,,,0.09642857142857143,,,0.2357142857142857,,,0.4404332129963899,,,0.776595744680851,,,0.9963898916967509,,,0.9963898916967509,,,0.9963898916967509,
75,,,28125.0,,,70.0,,,169.5,,,607.0,,,475.0,,,28600.0,,,89.0,,,39.0,,,0.0,,,0.0,,,27.0,,,0.0,,,0.0,,,25.0,,,85.5,,,146.0,,,150.0,,,97.0,,,61.5,,,0.24285714285714285,,,1.0,,,0.38028169014084506,,,0.5571428571428572,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0
150,,,56250.0,,,140.0,,,69.5,,,604.0,,,950.0,,,57200.0,,,88.0,,,13.75,,,-3.0,,,0.0,,,85.0,,,0.0,,,0.0,,,0.0,,,15.5,,,109.0,,,162.5,,,136.0,,,115.0,,,0.12142857142857143,,,1.0,,,0.19858156028368795,,,0.28368794326241137,,,0.6868287740628166,,,0.9929078014184397,,,0.9929577464788732,,,0.9929577464788732,,,1.0,,,1.0
225,,,84375.0,,,210.0,,,23.0,,,605.5,,,1425.0,,,85800.0,,,84.0,,,0.0,,,-14.0,,,0.0,,,78.0,,,0.0,,,0.0,,,0.0,,,0.0,,,41.0,,,117.5,,,117.5,,,102.0,,,0.08056872037914692,,,1.0,,,0.12857434408943513,,,0.19093187514240145,,,0.4631894917396407,,,0.7565618591934381,,,0.995260663507109,,,0.9952830188679245,,,1.0,,,1.0
300,,,112500.0,,,281.0,,,0.0,,,604.0,,,1805.0,,,114305.0,,,17.0,,,0.0,,,-41.5,,,0.0,,,38.5,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,47.5,,,64.0,,,57.0,,,0.060498220640569395,,,1.0,,,0.09480374836777018,,,0.14159336390747562,,,0.34106940139542596,,,0.5660722713299915,,,0.8934277277201483,,,0.9964539007092199,,,0.9964539007092199,,,0.9964664310954063
75,28125.0,,,71.0,,,265.0,,,636.0,,,475.0,,,28600.0,,,122.0,,,58.0,,,0.0,,,0.0,,,172.0,,,0.0,,,0.0,,,65.0,,,114.0,,,192.0,,,233.0,,,210.0,,,200.0,,,0.4,,,1.0,,,0.647887323943662,,,0.9,,,1.0285714285714285,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0142857142857142,,
150,56250.0,,,142.0,,,145.0,,,645.0,,,1045.0,,,57295.0,,,89.0,,,27.0,,,0.0,,,0.0,,,149.0,,,0.0,,,0.0,,,0.0,,,57.0,,,144.0,,,212.0,,,196.0,,,180.0,,,0.2158273381294964,,,1.0,,,0.30935251798561153,,,0.42142857142857143,,,0.8642857142857143,,,1.0071942446043165,,,1.0,,,1.0,,,1.0,,,1.0,,
225,84375.0,,,212.0,,,65.0,,,643.0,,,1615.0,,,85990.0,,,89.0,,,2.0,,,0.0,,,0.0,,,132.0,,,0.0,,,0.0,,,0.0,,,0.0,,,88.0,,,163.0,,,162.0,,,153.0,,,0.13942307692307693,,,1.0,,,0.20476190476190476,,,0.28708133971291866,,,0.5734597156398105,,,0.9428571428571428,,,1.0,,,1.0,,,1.0,,,1.0,,
300,112500.0,,,283.0,,,15.0,,,642.0,,,2185.0,,,114685.0,,,89.0,,,0.0,,,0.0,,,0.0,,,74.0,,,0.0,,,0.0,,,0.0,,,0.0,,,9.0,,,85.0,,,101.0,,,99.0,,,0.09642857142857143,,,1.0,,,0.148014440433213,,,0.19784172661870503,,,0.4676258992805755,,,0.6857142857142857,,,1.0035971223021583,,,1.0,,,1.0,,,1.0,,
